"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2022W24","2022 Week 24","10","Dublin Metro Bus","Number","2297192"
"THA25C01","Passenger Journeys","2022W24","2022 Week 24","20","Bus, excluding Dublin Metro","Number","689753"
"THA25C01","Passenger Journeys","2022W24","2022 Week 24","30","Rail","Number","718874"
"THA25C01","Passenger Journeys","2022W24","2022 Week 24","40","All public transport, excluding LUAS","Number","3705819"
"THA25C01","Passenger Journeys","2022W25","2022 Week 25","10","Dublin Metro Bus","Number","2458431"
"THA25C01","Passenger Journeys","2022W25","2022 Week 25","20","Bus, excluding Dublin Metro","Number","672758"
"THA25C01","Passenger Journeys","2022W25","2022 Week 25","30","Rail","Number","777823"
"THA25C01","Passenger Journeys","2022W25","2022 Week 25","40","All public transport, excluding LUAS","Number","3909012"
"THA25C01","Passenger Journeys","2022W26","2022 Week 26","10","Dublin Metro Bus","Number","2456029"
"THA25C01","Passenger Journeys","2022W26","2022 Week 26","20","Bus, excluding Dublin Metro","Number","641014"
"THA25C01","Passenger Journeys","2022W26","2022 Week 26","30","Rail","Number","723963"
"THA25C01","Passenger Journeys","2022W26","2022 Week 26","40","All public transport, excluding LUAS","Number","3821006"
"THA25C01","Passenger Journeys","2022W27","2022 Week 27","10","Dublin Metro Bus","Number","2455447"
"THA25C01","Passenger Journeys","2022W27","2022 Week 27","20","Bus, excluding Dublin Metro","Number","688352"
"THA25C01","Passenger Journeys","2022W27","2022 Week 27","30","Rail","Number","768799"
"THA25C01","Passenger Journeys","2022W27","2022 Week 27","40","All public transport, excluding LUAS","Number","3912598"
"THA25C01","Passenger Journeys","2022W28","2022 Week 28","10","Dublin Metro Bus","Number","2463379"
"THA25C01","Passenger Journeys","2022W28","2022 Week 28","20","Bus, excluding Dublin Metro","Number","693305"
"THA25C01","Passenger Journeys","2022W28","2022 Week 28","30","Rail","Number","788475"
"THA25C01","Passenger Journeys","2022W28","2022 Week 28","40","All public transport, excluding LUAS","Number","3945159"
"THA25C01","Passenger Journeys","2022W29","2022 Week 29","10","Dublin Metro Bus","Number","2437677"
"THA25C01","Passenger Journeys","2022W29","2022 Week 29","20","Bus, excluding Dublin Metro","Number","668149"
"THA25C01","Passenger Journeys","2022W29","2022 Week 29","30","Rail","Number","780426"
"THA25C01","Passenger Journeys","2022W29","2022 Week 29","40","All public transport, excluding LUAS","Number","3886252"
"THA25C01","Passenger Journeys","2022W30","2022 Week 30","10","Dublin Metro Bus","Number","2428637"
"THA25C01","Passenger Journeys","2022W30","2022 Week 30","20","Bus, excluding Dublin Metro","Number","654034"
"THA25C01","Passenger Journeys","2022W30","2022 Week 30","30","Rail","Number","694529"
"THA25C01","Passenger Journeys","2022W30","2022 Week 30","40","All public transport, excluding LUAS","Number","3777200"
"THA25C01","Passenger Journeys","2022W31","2022 Week 31","10","Dublin Metro Bus","Number","2391497"
"THA25C01","Passenger Journeys","2022W31","2022 Week 31","20","Bus, excluding Dublin Metro","Number","599663"
"THA25C01","Passenger Journeys","2022W31","2022 Week 31","30","Rail","Number","695776"
"THA25C01","Passenger Journeys","2022W31","2022 Week 31","40","All public transport, excluding LUAS","Number","3686936"
"THA25C01","Passenger Journeys","2022W32","2022 Week 32","10","Dublin Metro Bus","Number","2569142"
"THA25C01","Passenger Journeys","2022W32","2022 Week 32","20","Bus, excluding Dublin Metro","Number","700075"
"THA25C01","Passenger Journeys","2022W32","2022 Week 32","30","Rail","Number","776829"
"THA25C01","Passenger Journeys","2022W32","2022 Week 32","40","All public transport, excluding LUAS","Number","4046046"
"THA25C01","Passenger Journeys","2022W33","2022 Week 33","10","Dublin Metro Bus","Number","2555241"
"THA25C01","Passenger Journeys","2022W33","2022 Week 33","20","Bus, excluding Dublin Metro","Number","687677"
"THA25C01","Passenger Journeys","2022W33","2022 Week 33","30","Rail","Number","708368"
"THA25C01","Passenger Journeys","2022W33","2022 Week 33","40","All public transport, excluding LUAS","Number","3951286"
"THA25C01","Passenger Journeys","2022W34","2022 Week 34","10","Dublin Metro Bus","Number","2614443"
"THA25C01","Passenger Journeys","2022W34","2022 Week 34","20","Bus, excluding Dublin Metro","Number","719994"
"THA25C01","Passenger Journeys","2022W34","2022 Week 34","30","Rail","Number","753379"
"THA25C01","Passenger Journeys","2022W34","2022 Week 34","40","All public transport, excluding LUAS","Number","4087816"
"THA25C01","Passenger Journeys","2022W35","2022 Week 35","10","Dublin Metro Bus","Number","2694493"
"THA25C01","Passenger Journeys","2022W35","2022 Week 35","20","Bus, excluding Dublin Metro","Number","703280"
"THA25C01","Passenger Journeys","2022W35","2022 Week 35","30","Rail","Number","674115"
"THA25C01","Passenger Journeys","2022W35","2022 Week 35","40","All public transport, excluding LUAS","Number","4071888"
"THA25C01","Passenger Journeys","2022W36","2022 Week 36","10","Dublin Metro Bus","Number","2770458"
"THA25C01","Passenger Journeys","2022W36","2022 Week 36","20","Bus, excluding Dublin Metro","Number","746245"
"THA25C01","Passenger Journeys","2022W36","2022 Week 36","30","Rail","Number","735395"
"THA25C01","Passenger Journeys","2022W36","2022 Week 36","40","All public transport, excluding LUAS","Number","4252098"
"THA25C01","Passenger Journeys","2022W37","2022 Week 37","10","Dublin Metro Bus","Number","2991127"
"THA25C01","Passenger Journeys","2022W37","2022 Week 37","20","Bus, excluding Dublin Metro","Number","823471"
"THA25C01","Passenger Journeys","2022W37","2022 Week 37","30","Rail","Number","781714"
"THA25C01","Passenger Journeys","2022W37","2022 Week 37","40","All public transport, excluding LUAS","Number","4596312"
"THA25C01","Passenger Journeys","2022W38","2022 Week 38","10","Dublin Metro Bus","Number","3026029"
"THA25C01","Passenger Journeys","2022W38","2022 Week 38","20","Bus, excluding Dublin Metro","Number","849445"
"THA25C01","Passenger Journeys","2022W38","2022 Week 38","30","Rail","Number","777177"
"THA25C01","Passenger Journeys","2022W38","2022 Week 38","40","All public transport, excluding LUAS","Number","4652651"
"THA25C01","Passenger Journeys","2022W39","2022 Week 39","10","Dublin Metro Bus","Number","3092163"
"THA25C01","Passenger Journeys","2022W39","2022 Week 39","20","Bus, excluding Dublin Metro","Number","885387"
"THA25C01","Passenger Journeys","2022W39","2022 Week 39","30","Rail","Number","841960"
"THA25C01","Passenger Journeys","2022W39","2022 Week 39","40","All public transport, excluding LUAS","Number","4819510"
"THA25C01","Passenger Journeys","2022W40","2022 Week 40","10","Dublin Metro Bus","Number","3132650"
"THA25C01","Passenger Journeys","2022W40","2022 Week 40","20","Bus, excluding Dublin Metro","Number","896210"
"THA25C01","Passenger Journeys","2022W40","2022 Week 40","30","Rail","Number","841573"
"THA25C01","Passenger Journeys","2022W40","2022 Week 40","40","All public transport, excluding LUAS","Number","4870433"
"THA25C01","Passenger Journeys","2022W41","2022 Week 41","10","Dublin Metro Bus","Number","3130260"
